Ciclo,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Permanente,Cardamomo,Cosechas,2022,0.3,32.14,0.36,1.04,23.06,3.47,2.85,19.48,1.61,11.2,2.27,2.23
Permanente,Cardamomo,Siembras,2022,1.77,5.31,22.67,24.44,25.56,20.24,0,0,0,0,0,0
Transitorio,Cebada,Cosechas,2022,5.81,2.73,0.87,0,0.53,2.39,8.24,17.54,45.85,8.4,0.29,7.35
Transitorio,Cebada,Siembras,2022,0.37,7.45,40.66,24.29,0.17,0.26,3.71,4.72,10.63,7.75,0.01,0
Transitorio,Cebolla de bulbo,Cosechas,2022,6.41,10.18,8.65,4.69,6.41,8.4,11.95,11.28,8.17,5.67,5.82,12.39
Transitorio,Cebolla de bulbo,Siembras,2022,7.07,10.72,14.82,9.12,6.68,2.93,7.43,9.61,10.48,7.15,7.58,6.4
Transitorio,Cebolla de rama,Cosechas,2022,10.73,2.72,9.31,8.3,8.81,7.57,7.86,10.02,9.77,7.47,5.98,11.49
Transitorio,Cebolla de rama,Siembras,2022,10.3,10.51,15.18,15.09,12.86,12.3,4.55,9.2,3.55,2.61,1.99,1.86
Permanente,Chamba,Cosechas,2022,0,0,0,0,0,0,8.33,16.67,51.67,13.33,10,0
Permanente,Chamba,Siembras,2022,0,0,10,60,10,0,0,0,10,10,0,0
Permanente,Chirimoya,Cosechas,2022,15.14,6.09,1.35,0,0.22,0.29,0.22,0,23.19,13.53,15.46,24.51
Permanente,Chirimoya,Siembras,2022,21.68,21.68,38.23,2.99,0,0,0,0,0,15.43,0,0
Permanente,Chontaduro,Cosechas,2022,10.55,12.98,2.52,6.21,0.33,0.61,6.13,13.62,10.13,21.01,3.67,12.23
Permanente,Chontaduro,Siembras,2022,2.67,20.59,1.68,29.53,6.69,7.82,3.33,3.07,11.36,5.59,4.64,3.03
Transitorio,Cilantro,Cosechas,2022,3.91,1.62,5.2,14.97,11,7.66,11.3,7.04,4.72,12.7,9.84,10.04
Transitorio,Cilantro,Siembras,2022,3.78,20.83,12.38,6.32,6.87,4.3,15.35,8.09,6.13,6.09,6.29,3.58
Transitorio,Cimarrón,Cosechas,2022,12.92,10.39,7.92,6.98,14.13,8.45,4.66,5.32,7.44,7.54,7.29,6.95
Transitorio,Cimarrón,Siembras,2022,6.85,20.85,10.38,8.29,8.32,8.28,10,8.31,7.66,4.47,2.69,3.9
Permanente,Ciruela,Cosechas,2022,10.59,9,14.72,10.09,5.9,3.67,7.13,6.57,10.81,5.93,6.25,9.34
Permanente,Ciruela,Siembras,2022,0.13,0.13,10.75,23.36,35.89,13.22,11.4,1.3,2.77,0.8,0.13,0.12
Permanente,Cítricos,Cosechas,2022,3.59,11.64,32.57,20.08,10.17,13.12,2.4,2.25,2.06,1.32,0.48,0.3
Permanente,Cítricos,Siembras,2022,15.73,7.75,16.61,15.83,4.38,1.12,1.08,7.71,9.56,12.3,7.57,0.35
Permanente,Coco,Cosechas,2022,7.86,8.41,7.06,7.93,11.75,10.77,7.54,6.75,9.33,9.46,6.4,6.74
Permanente,Coco,Siembras,2022,9.6,9.28,2.98,6.99,28.65,14.48,9.72,11.62,1.52,1.49,1.83,1.83
Transitorio,Col,Cosechas,2022,0,0,0.78,21.21,32.08,9,1.95,3.33,3.36,19.79,2.33,6.17
Transitorio,Col,Siembras,2022,18.91,30.54,9.66,4.35,9.78,7.66,12.04,1.07,3,0,0,3
Transitorio,Coliflor,Cosechas,2022,7.85,8.79,7.66,6.66,7.8,9.09,8.93,10.1,7.62,5.79,6.92,12.8
Transitorio,Coliflor,Siembras,2022,7.25,8.16,9.57,9.35,9.26,7.99,5.18,4.68,8.96,11.7,10.38,7.52
Permanente,Copoazú,Cosechas,2022,2.67,2,43.26,0,0.67,1.37,2.67,2,0.04,43.26,0.72,1.34
Permanente,Copoazú,Siembras,2022,0,0,20,30,0,0,0,20,30,0,0,0
Permanente,Cúrcuma,Cosechas,2022,0,0,0,0,0,0,25,0,0,0,37.5,37.5
Permanente,Cúrcuma,Siembras,2022,0,12.5,0,0,0,0,43.75,43.75,0,0,0,0
Permanente,Curuba,Cosechas,2022,3.79,2.94,12.5,3.21,13.02,2.96,13.23,3.34,22.64,5.02,13.34,4.02
Permanente,Curuba,Siembras,2022,1.28,5.57,18.74,23.38,9.5,9.41,6.2,7.1,10.9,6,1.93,0
Permanente,Dátil,Cosechas,2022,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33
Permanente,Dátil,Siembras,2022,7.14,8.75,14.35,16.03,13.43,6.99,6.95,5.84,6.29,6.85,4.98,2.41
Permanente,Durazno,Cosechas,2022,7.97,11.7,12.55,7.97,8.25,5.41,4.4,5.68,9.27,11.98,8.26,6.58
Permanente,Durazno,Siembras,2022,6.5,6.73,16.96,16.82,12.86,21.59,4.16,10.18,3.1,0.57,0.53,0
Transitorio,Espárrago,Siembras,2022,0,0,50,50,0,0,0,0,0,0,0,0
Transitorio,Espárrago,Cosechas,2022,0,0,0,0,0,0,50,50,0,0,0,0
Transitorio,Espinaca,Cosechas,2022,11.75,11.76,12.69,6.36,8.48,6.38,6.39,8.46,8.29,8.29,5.57,5.57
